MBps,bytes,category,channels,checksum,expected_speed,height,image,image_kind,image_size,mode,ms,repeat,research_value,run_id,stage,width
162.02,1179648,diffusion,3,10412912708726366317,none per round,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,6.94358,1,high,stages__real_kodim07__rep1,stencil_diffusion,768
430.61,1179648,diffusion,3,15047154835604118243,none,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,2.61257,1,excellent,stages__real_kodim07__rep1,arx_block_diffusion,768
271.363,1179648,diffusion,3,3401124893961382379,none,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,4.14574,1,excellent,stages__real_kodim07__rep1,bitplane_diffusion,768
372.919,1179648,diffusion,3,12889440685309083942,associative scan,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,3.01674,1,excellent,stages__real_kodim07__rep1,prefix_xor_avx2,768
287.411,1179648,diffusion,3,6340873546624745834,associative scan,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,3.91425,1,excellent,stages__real_kodim07__rep1,reverse_prefix_xor_avx2,768
510.164,1179648,diffusion,3,5646371580630648840,lane-local,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,2.20517,1,excellent,stages__real_kodim07__rep1,multilane_chain_avx2,768
466.061,1179648,diffusion,3,13256741905011617661,logarithmic,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,2.41385,1,excellent,stages__real_kodim07__rep1,tree_xor_avx2,768
165.612,1179648,diffusion,3,3003219603901304641,multi-pass associative,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,6.79297,1,excellent,stages__real_kodim07__rep1,prefix_tree_reverse,768
231.924,1179648,diffusion,3,13625760587686225208,prefix sum mod 256,512,images/datasets/real/kodak/kodim07.png,real_kodim07,768x512,stages,4.85073,1,medium-high,stages__real_kodim07__rep1,arx_prefix_mod256,768
168.754,1179648,keystream,3,16352428071501016112,slow,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,6.6665,1,baseline,stages__real_kodim08__rep1,logistic_double,768
23.3935,1179648,keystream,3,3229335138050633222,very slow,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,48.0902,1,bad baseline,stages__real_kodim08__rep1,sine_map,768
131.199,1179648,keystream,3,547275334597606753,high,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,8.57475,1,useful,stages__real_kodim08__rep1,fixed_point_tent,768
57.8776,1179648,keystream,3,551434269804455751,medium-high,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,19.4376,1,chaos-native SIMD,stages__real_kodim08__rep1,cml,768
258.904,1179648,keystream,3,6408282267245646781,very high,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,4.34525,1,fastest,stages__real_kodim08__rep1,cellular_automata,768
11.1726,1179648,keystream,3,10367332591215019916,medium,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,100.693,1,physics novelty,stages__real_kodim08__rep1,hamiltonian,768
46.8415,1179648,keystream,3,7386139916934624047,low-medium,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,24.0171,1,physics novelty,stages__real_kodim08__rep1,reaction_diffusion,768
4.39682,1179648,permutation,3,6980189659602518077,O(N log N),512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,255.867,1,poor,stages__real_kodim08__rep1,chaotic_sort,768
49.5863,1179648,permutation,3,18012115981162251319,O(N) sequential,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,22.6877,1,poor,stages__real_kodim08__rep1,random_walk,768
159.389,1179648,permutation,3,5066606666134134509,O(N),512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,7.05822,1,good,stages__real_kodim08__rep1,arnold_cat_map,768
68.3674,1179648,permutation,3,8167423128702209175,O(N),512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,16.4552,1,excellent,stages__real_kodim08__rep1,affine_modular,768
57.7284,1179648,permutation,3,13617511068752406069,O(rN),512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,19.4878,1,excellent,stages__real_kodim08__rep1,feistel_index,768
483.791,1179648,permutation,3,10986320000636177335,O(N),512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,2.32538,1,excellent,stages__real_kodim08__rep1,block_permutation,768
194.004,1179648,permutation,3,14004995941669720823,O(rN),512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,5.79884,1,excellent,stages__real_kodim08__rep1,checkerboard_swaps,768
227.726,1179648,diffusion,3,15137321252880339814,sequential,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,4.94015,1,poor,stages__real_kodim08__rep1,global_chain,768
271.249,1179648,diffusion,3,4382338327746781342,block-level,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,4.14748,1,good,stages__real_kodim08__rep1,block_local_chain,768
250.888,1179648,diffusion,3,3424462579574937474,reduced,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,4.48408,1,medium,stages__real_kodim08__rep1,parallel_prefix,768
160.784,1179648,diffusion,3,18150004322878439687,none per round,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,6.99697,1,high,stages__real_kodim08__rep1,stencil_diffusion,768
396.7,1179648,diffusion,3,13585570854349161485,none,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,2.8359,1,excellent,stages__real_kodim08__rep1,arx_block_diffusion,768
258.789,1179648,diffusion,3,17699016808089365927,none,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,4.34717,1,excellent,stages__real_kodim08__rep1,bitplane_diffusion,768
334.766,1179648,diffusion,3,15137321252880339814,associative scan,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,3.36056,1,excellent,stages__real_kodim08__rep1,prefix_xor_avx2,768
267.897,1179648,diffusion,3,7542461713389704804,associative scan,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,4.19938,1,excellent,stages__real_kodim08__rep1,reverse_prefix_xor_avx2,768
469.431,1179648,diffusion,3,7140775340184028011,lane-local,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,2.39652,1,excellent,stages__real_kodim08__rep1,multilane_chain_avx2,768
448.433,1179648,diffusion,3,7418338508984390905,logarithmic,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,2.50874,1,excellent,stages__real_kodim08__rep1,tree_xor_avx2,768
168.807,1179648,diffusion,3,4992114556558292825,multi-pass associative,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,6.66442,1,excellent,stages__real_kodim08__rep1,prefix_tree_reverse,768
225.476,1179648,diffusion,3,6029142667315689843,prefix sum mod 256,512,images/datasets/real/kodak/kodim08.png,real_kodim08,768x512,stages,4.98943,1,medium-high,stages__real_kodim08__rep1,arx_prefix_mod256,768
165.719,1179648,keystream,3,16352428071501016112,slow,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,6.78859,1,baseline,stages__real_kodim09__rep1,logistic_double,512
22.794,1179648,keystream,3,3229335138050633222,very slow,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,49.355,1,bad baseline,stages__real_kodim09__rep1,sine_map,512
132.757,1179648,keystream,3,547275334597606753,high,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,8.47412,1,useful,stages__real_kodim09__rep1,fixed_point_tent,512
58.9091,1179648,keystream,3,551434269804455751,medium-high,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,19.0972,1,chaos-native SIMD,stages__real_kodim09__rep1,cml,512
271.374,1179648,keystream,3,6408282267245646781,very high,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,4.14558,1,fastest,stages__real_kodim09__rep1,cellular_automata,512
10.7625,1179648,keystream,3,10367332591215019916,medium,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,104.53,1,physics novelty,stages__real_kodim09__rep1,hamiltonian,512
47.0635,1179648,keystream,3,7386139916934624047,low-medium,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,stages,23.9039,1,physics novelty,stages__real_kodim09__rep1,reaction_diffusion,512
