chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
36251.7,logistic_permute_xor,0.00211957,-0.00622887,0.000497937,0.00778622,7.97793,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.6054,0.999998,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
36187.6,arnold_xor,0.00726351,-0.0529425,0.00778638,0.173165,7.97796,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.3863,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
36016.2,tiled_arnold_xor,0.00765453,-0.0505829,0.00921954,0.0437249,7.978,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.3863,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
265.111,tent_block_xor,-0.000458495,-0.00213096,0.000501528,1,7.99984,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.6234,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
36114.1,sine_xor,0.0723428,0.0903864,0.0743141,1,7.97782,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.3009,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
58063.2,coupled_lattice_xor,0.145067,0.114467,0.144263,1,7.96446,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.4091,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
21620.6,hamiltonian_lattice_xor,8.75943e-05,-0.0245433,0.00233196,1,7.98676,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.5316,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
240.615,chaotic_seed_blake3_xor,0.0022959,-0.00283278,0.00246073,1,7.99985,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.608,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
236.151,aes_ctr,0.000683289,0.00131747,-0.00105445,1,7.99986,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.6112,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
257.573,chacha20,0.00256781,-0.000176936,0.000162419,1,7.99984,images/datasets/real/kodak/kodim16.png,real_kodim16,,99.6203,1,full,8.47711e-05,1,full__real_kodim16__rep1,3.32435e-07
7238.15,logistic_xor,0.00657783,-0.0655088,0.0101356,1,7.99557,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.3863,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
7180.79,logistic_permute_xor,-0.00311133,-0.039518,0.00118958,0.00766669,7.99561,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.6034,0.999998,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
7264.79,arnold_xor,0.00531094,-0.0653278,0.00903195,0.174696,7.99555,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.3863,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
7171.17,tiled_arnold_xor,0.00554825,-0.0614143,0.00828222,0.0358336,7.99561,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.3863,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
262.739,tent_block_xor,0.000299069,-0.00381768,-0.0016352,1,7.99984,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.6234,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
40375.3,sine_xor,0.0922472,0.11553,0.0975475,1,7.97508,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.3009,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
93636.2,coupled_lattice_xor,0.175341,0.155427,0.178453,1,7.94193,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.4091,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
2724.68,hamiltonian_lattice_xor,0.00441452,-0.0223692,0.00435618,1,7.99833,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.5316,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
264.786,chaotic_seed_blake3_xor,-0.000243881,-0.00225396,0.00034726,1,7.99984,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.608,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
272.6,aes_ctr,0.000569422,-0.00117994,0.000741947,1,7.99983,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.6112,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
265.743,chacha20,0.0023287,-0.000217858,-5.24319e-05,1,7.99984,images/datasets/real/kodak/kodim17.png,real_kodim17,,99.6203,1,full,8.47711e-05,1,full__real_kodim17__rep1,3.32435e-07
18031.4,logistic_xor,0.00175794,-0.0698698,0.00422574,1,7.98939,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.3863,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
18018.6,logistic_permute_xor,-0.000463065,-0.0587988,0.00220933,0.00972663,7.98939,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.6039,0.999998,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
18104.2,arnold_xor,0.00162495,-0.0672857,0.00292671,0.175195,7.98936,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.3863,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
17971.7,tiled_arnold_xor,0.000413242,-0.0674987,0.00420615,0.0280609,7.98943,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.3863,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
279.482,tent_block_xor,0.000502717,-0.00488341,-0.00162304,1,7.99983,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.6234,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
71822.8,sine_xor,0.0765687,0.0635668,0.0849621,1,7.95616,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.3009,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
152635,coupled_lattice_xor,0.113134,0.0984245,0.122075,1,7.90396,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.4091,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
7321.8,hamiltonian_lattice_xor,0.00232645,-0.015749,0.000269211,1,7.99564,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.5316,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
286.466,chaotic_seed_blake3_xor,-0.000272088,-0.0027019,-0.0011024,1,7.99982,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.608,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
244.922,aes_ctr,0.0010951,-0.000249285,0.00132243,1,7.99985,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.6112,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
245.445,chacha20,0.00170566,0.00123264,0.000709386,1,7.99985,images/datasets/real/kodak/kodim18.png,real_kodim18,,99.6203,1,full,8.47711e-05,1,full__real_kodim18__rep1,3.32435e-07
