MBps,bytes,channels,cipher,correct,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
23.6405,1179648,3,sine_xor,1,0.927723,1.9494934636745898,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,46.0921,96.85676400933852,full,0.000629,0.0013217645662027533,1,full__real_kodim09__rep1,47.5879,scalar_avx2,512
68.5981,1179648,3,coupled_lattice_xor,1,0.93079,5.675583387703584,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,14.8997,90.85238324623931,full,0.000615,0.0037500228659930854,1,full__real_kodim09__rep1,16.3999,scalar_avx2,512
11.0734,1179648,3,hamiltonian_lattice_xor,1,0.962902,0.9477848319307053,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,100.157,98.58457601259903,full,0.000561,0.0005521925291598996,1,full__real_kodim09__rep1,101.595,scalar_avx2,512
285.274,1179648,3,chaotic_seed_blake3_xor,1,0.670801,17.009993483062303,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,2.68693,68.13445685001153,full,0.00064,0.016228949910867565,1,full__real_kodim09__rep1,3.94357,scalar_avx2,512
319.884,1179648,3,aes_ctr,1,3.10014,88.14979100912736,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,0,0.0,full,0,0.0,1,full__real_kodim09__rep1,3.5169,openssl_evp,512
802.81,1179648,3,chacha20,1,0.746288,53.2556928061199,768,images/datasets/real/kodak/kodim09.png,real_kodim09,512x768,0,0.0,full,0,0.0,1,full__real_kodim09__rep1,1.40133,openssl_evp,512
129.568,1179648,3,logistic_xor,1,1.93805,22.320796156960213,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,4.89759,56.40623722317111,full,0.00064,0.007370970584068799,1,full__real_kodim10__rep1,8.68271,scalar_avx2,512
13.625,1179648,3,logistic_permute_xor,1,1.84452,2.2339134542019403,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,4.09515,4.959670094103114,full,74.8557,90.65835846383024,1,full__real_kodim10__rep1,82.569,scalar_avx2,512
108.865,1179648,3,arnold_xor,1,0.657744,6.364915472377321,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,4.41452,42.718818645429124,full,4.75463,46.01002525667947,1,full__real_kodim10__rep1,10.3339,scalar_avx2,512
77.7816,1179648,3,tiled_arnold_xor,1,2.41042,16.66542216322354,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,4.00814,27.711911280732323,full,6.37223,44.05701208551121,1,full__real_kodim10__rep1,14.4636,scalar_avx2,512
79.0748,1179648,3,tent_block_xor,1,1.81096,12.729036339354748,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,10.7457,75.53032965488156,full,0.000584,0.004104871019891755,1,full__real_kodim10__rep1,14.227,scalar_avx2,512
23.0654,1179648,3,sine_xor,1,0.960658,1.9695987436006257,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,47.0688,96.50328144125083,full,0.00088,0.0018042288664317071,1,full__real_kodim10__rep1,48.7743,scalar_avx2,512
71.9448,1179648,3,coupled_lattice_xor,1,0.53903,3.447144592952612,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,14.5488,93.04086461597494,full,0.00066,0.004220758457504636,1,full__real_kodim10__rep1,15.637,scalar_avx2,512
11.5718,1179648,3,hamiltonian_lattice_xor,1,0.990704,1.0190456989800327,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,95.7587,98.49812999131856,full,0.000577,0.0005935066057182356,1,full__real_kodim10__rep1,97.2188,scalar_avx2,512
253.275,1179648,3,chaotic_seed_blake3_xor,1,0.881743,19.851028862172996,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,2.92149,65.77265973254086,full,0.000896,0.02017200234139313,1,full__real_kodim10__rep1,4.4418,scalar_avx2,512
306.984,1179648,3,aes_ctr,1,3.08679,84.23058976339064,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,0,0.0,full,0,0.0,1,full__real_kodim10__rep1,3.66469,openssl_evp,512
708.212,1179648,3,chacha20,1,0.682691,42.97681475093012,768,images/datasets/real/kodak/kodim10.png,real_kodim10,512x768,0,0.0,full,0,0.0,1,full__real_kodim10__rep1,1.58851,openssl_evp,512
