MBps,bytes,channels,cipher,correct,dataset,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
70.6115,786432,3,coupled_lattice_xor,1,synthetic_control,0.363493,3.422237913665678,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,10.0062,94.20703290495693,full,0.000606,0.005705408840559243,1,full__gradient_512x512__rep1,10.6215,scalar_avx2,512
11.1724,786432,3,hamiltonian_lattice_xor,1,synthetic_control,0.568668,0.8471145538507374,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,66.2474,98.68523759868911,full,0.00187,0.0027856398033666023,1,full__gradient_512x512__rep1,67.13,scalar_avx2,512
301.737,786432,3,chaotic_seed_blake3_xor,1,synthetic_control,0.339784,13.670044777740676,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.91025,76.85236219680482,full,0.000606,0.02438033319788704,1,full__gradient_512x512__rep1,2.48561,scalar_avx2,512
251.924,786432,3,aes_ctr,1,synthetic_control,2.72708,91.60250984185846,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,1,full__gradient_512x512__rep1,2.97708,openssl_evp,512
918.075,786432,3,chacha20,1,synthetic_control,0.479767,58.728258461282344,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,1,full__gradient_512x512__rep1,0.816927,openssl_evp,512
905.679,786432,3,aes_256_gcm,1,synthetic_control,0.401265,48.45563622136243,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,1,full__gradient_512x512__rep1,0.828108,openssl_evp_aead,512
747.493,786432,3,chacha20_poly1305,1,synthetic_control,0.690969,68.8661982359097,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,1,full__gradient_512x512__rep1,1.00335,openssl_evp_aead,512
137.835,786432,3,logistic_xor,1,synthetic_control,1.25564,23.07610313711797,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,3.0844,56.68498336794516,full,0.00068,0.01249701358131329,2,full__gradient_512x512__rep2,5.4413,scalar_avx2,512
14.2626,786432,3,logistic_permute_xor,1,synthetic_control,1.08286,2.059248609875022,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.72904,5.189749207001209,full,47.7487,90.80254520283273,2,full__gradient_512x512__rep2,52.5852,scalar_avx2,512
108.871,786432,3,arnold_xor,1,synthetic_control,0.297041,4.31187227006885,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.56248,37.19717633123382,full,3.71225,53.88733486139317,2,full__gradient_512x512__rep2,6.88891,scalar_avx2,512
82.2068,786432,3,tiled_arnold_xor,1,synthetic_control,1.30211,14.272310658498599,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,2.63211,28.850321099861567,full,4.23537,46.423509836868774,2,full__gradient_512x512__rep2,9.12333,scalar_avx2,512
79.6186,786432,3,tent_block_xor,1,synthetic_control,1.16039,12.318482872978617,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,7.43004,78.87591282719262,full,0.000569,0.006040397413563398,2,full__gradient_512x512__rep2,9.41991,scalar_avx2,512
22.8734,786432,3,sine_xor,1,synthetic_control,0.402085,1.2262726751491344,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,32.0684,97.80171519890695,full,0.000539,0.00164383394532346,2,full__gradient_512x512__rep2,32.7892,scalar_avx2,512
70.8858,786432,3,coupled_lattice_xor,1,synthetic_control,0.342411,3.236276511285018,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,9.93672,93.91629806056481,full,0.000577,0.0054534800196589924,2,full__gradient_512x512__rep2,10.5804,scalar_avx2,512
11.0725,786432,3,hamiltonian_lattice_xor,1,synthetic_control,0.613016,0.9050156934188032,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,66.7985,98.6168236992769,full,0.000611,0.0009020394062779581,2,full__gradient_512x512__rep2,67.7354,scalar_avx2,512
294.373,786432,3,chaotic_seed_blake3_xor,1,synthetic_control,0.349224,13.706938169943362,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.93423,75.9179524215104,full,0.000568,0.022293831124229235,2,full__gradient_512x512__rep2,2.54779,scalar_avx2,512
257.502,786432,3,aes_ctr,1,synthetic_control,2.62619,90.16651788779784,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,2,full__gradient_512x512__rep2,2.9126,openssl_evp,512
820.743,786432,3,chacha20,1,synthetic_control,0.457627,50.07922907050293,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,0,0.0,full,0,0.0,2,full__gradient_512x512__rep2,0.913806,openssl_evp,512
