chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
240.924,logistic_permute_xor,0.00143524,0.00459627,0.00029859,0.00385793,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6068,0.999997,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
255.335,arnold_xor,0.0065554,-0.0381166,0.00574995,0.00390625,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
253.902,tiled_arnold_xor,0.00595864,-0.0318308,0.00540772,0.0120443,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
281.894,tent_block_xor,0.000663443,-0.00310728,-0.00170598,1,7.99974,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.625,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
208.794,sine_xor,0.0727493,-0.0729127,0.079319,1,7.99981,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.2976,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
242.123,coupled_lattice_xor,0.146501,0.0275223,0.149401,1,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.4114,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
245.696,hamiltonian_lattice_xor,0.00318681,0.000783296,0.00203466,1,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.5286,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
242.703,chaotic_seed_mix_xor,0.000204554,-0.00141171,-0.00128362,1,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6124,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
276.77,aes_ctr,-0.00241401,0.00264012,-0.00097822,1,7.99975,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6067,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
220.917,chacha20,0.00566,-0.000282329,0.00120264,1,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6176,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
290.68,logistic_xor,-0.00101182,-0.000542191,0.0013074,1,7.99993,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
259.853,logistic_permute_xor,-0.00179752,0.000160888,-0.00080184,0.00387287,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6137,0.999999,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
262.457,arnold_xor,-0.00104509,-3.78812e-05,0.000559983,0.00393454,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
253.039,tiled_arnold_xor,-0.000530182,-0.000595309,-0.000569255,0.00487264,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
242.949,tent_block_xor,8.18217e-05,4.96963e-05,-0.000288345,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6171,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
251.934,sine_xor,0.00128987,-0.000411268,-0.00100322,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.3037,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
273.651,coupled_lattice_xor,0.000707348,-0.000756515,-9.84084e-05,1,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4116,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
