MBps,bytes,channels,checksum,diffusion,diffusion_ms,height,image,image_kind,image_size,keygen_ms,keystream,mode,permutation,permutation_ms,repeat,run_id,scheme,total_ms,width
38.9379,12582912,3,15122475835053983483,prefix_tree_reverse,68.8375,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.6516,cellular_automata,candidates,affine_bitplane,210.688,3,candidates__gradient_2048x2048__rep3,Affine-CA-PrefixTree,308.183,2048
160.435,12582912,3,15952745533059969249,multilane_tree,30.696,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,27.7716,cellular_automata,candidates,checkerboard_swaps,16.3175,3,candidates__gradient_2048x2048__rep3,Checkerboard-CA-MultilaneTree,74.7968,2048
91.5852,786432,3,1030153695164066229,arx_block,0.772786,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.57605,cellular_automata,candidates,feistel_index,5.8369,1,candidates__gradient_512x512__rep1,CA-Feistel-ARX,8.1891,512
38.0598,786432,3,9616188472344676131,stencil,2.94738,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,10.8845,cml,candidates,feistel_index,5.87095,1,candidates__gradient_512x512__rep1,CML-Feistel-Stencil,19.7059,512
9.88865,786432,3,16874792644486012194,stencil,3.37162,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,66.3401,hamiltonian,candidates,block_feistel,6.12919,1,candidates__gradient_512x512__rep1,Hamiltonian-Block-Stencil,75.8445,512
33.3222,786432,3,4577604707368596687,bitplane,1.36026,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,11.0064,cml,candidates,affine_bitplane,10.1378,1,candidates__gradient_512x512__rep1,Affine-CML-Bitplane,22.5075,512
238.524,786432,3,14141379237052620034,arx_block,0.827591,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.66647,cellular_automata,candidates,checkerboard_swaps,0.646486,1,candidates__gradient_512x512__rep1,Checkerboard-CA-ARX,3.14433,512
44.0833,786432,3,11511167765748651023,prefix_tree_reverse,3.69374,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.56711,cellular_automata,candidates,affine_bitplane,11.7482,1,candidates__gradient_512x512__rep1,Affine-CA-PrefixTree,17.0133,512
240.657,786432,3,4305604454997157537,multilane_tree,0.941057,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.56713,cellular_automata,candidates,checkerboard_swaps,0.605641,1,candidates__gradient_512x512__rep1,Checkerboard-CA-MultilaneTree,3.11647,512
91.4739,786432,3,1030153695164066229,arx_block,0.835596,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.70385,cellular_automata,candidates,feistel_index,5.65646,2,candidates__gradient_512x512__rep2,CA-Feistel-ARX,8.19906,512
39.9035,786432,3,9616188472344676131,stencil,3.02517,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,10.3645,cml,candidates,feistel_index,5.40273,2,candidates__gradient_512x512__rep2,CML-Feistel-Stencil,18.7953,512
10.7534,786432,3,16874792644486012194,stencil,3.15924,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,60.4263,hamiltonian,candidates,block_feistel,6.15667,2,candidates__gradient_512x512__rep2,Hamiltonian-Block-Stencil,69.7454,512
33.2253,786432,3,4577604707368596687,bitplane,1.84364,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,10.7911,cml,candidates,affine_bitplane,9.93496,2,candidates__gradient_512x512__rep2,Affine-CML-Bitplane,22.5732,512
267.818,786432,3,14141379237052620034,arx_block,0.740191,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.4411,cellular_automata,candidates,checkerboard_swaps,0.616135,2,candidates__gradient_512x512__rep2,Checkerboard-CA-ARX,2.80041,512
47.7596,786432,3,11511167765748651023,prefix_tree_reverse,3.76417,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.50541,cellular_automata,candidates,affine_bitplane,10.4311,2,candidates__gradient_512x512__rep2,Affine-CA-PrefixTree,15.7037,512
236.399,786432,3,4305604454997157537,multilane_tree,1.10048,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.45749,cellular_automata,candidates,checkerboard_swaps,0.596216,2,candidates__gradient_512x512__rep2,Checkerboard-CA-MultilaneTree,3.1726,512
85.0925,786432,3,1030153695164066229,arx_block,0.952214,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.61833,cellular_automata,candidates,feistel_index,6.24021,3,candidates__gradient_512x512__rep3,CA-Feistel-ARX,8.81394,512
37.1059,786432,3,9616188472344676131,stencil,3.17237,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,11.0092,cml,candidates,feistel_index,6.01804,3,candidates__gradient_512x512__rep3,CML-Feistel-Stencil,20.2124,512
11.1153,786432,3,16874792644486012194,stencil,2.86776,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,58.9346,hamiltonian,candidates,block_feistel,5.66934,3,candidates__gradient_512x512__rep3,Hamiltonian-Block-Stencil,67.4744,512
31.5784,786432,3,4577604707368596687,bitplane,1.5867,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,11.3205,cml,candidates,affine_bitplane,10.8404,3,candidates__gradient_512x512__rep3,Affine-CML-Bitplane,23.7504,512
268.298,786432,3,14141379237052620034,arx_block,0.713959,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.51598,cellular_automata,candidates,checkerboard_swaps,0.562664,3,candidates__gradient_512x512__rep3,Checkerboard-CA-ARX,2.7954,512
45.4943,786432,3,11511167765748651023,prefix_tree_reverse,3.58815,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.42726,cellular_automata,candidates,affine_bitplane,11.467,3,candidates__gradient_512x512__rep3,Affine-CA-PrefixTree,16.4856,512
236.206,786432,3,4305604454997157537,multilane_tree,0.96737,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.64335,cellular_automata,candidates,checkerboard_swaps,0.561439,3,candidates__gradient_512x512__rep3,Checkerboard-CA-MultilaneTree,3.17519,512
82.1963,3145728,3,10154352750714544857,arx_block,3.7161,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,7.22108,cellular_automata,candidates,feistel_index,25.5407,1,candidates__noise_1024x1024__rep1,CA-Feistel-ARX,36.498,1024
34.5611,3145728,3,13601539085058861984,stencil,13.2139,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,47.566,cml,candidates,feistel_index,26.0181,1,candidates__noise_1024x1024__rep1,CML-Feistel-Stencil,86.8029,1024
9.83403,3145728,3,15938992241700151227,stencil,14.8516,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,261.919,hamiltonian,candidates,block_feistel,28.2873,1,candidates__noise_1024x1024__rep1,Hamiltonian-Block-Stencil,305.063,1024
29.4512,3145728,3,5015192422145357007,bitplane,7.2322,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,48.7913,cml,candidates,affine_bitplane,45.8355,1,candidates__noise_1024x1024__rep1,Affine-CML-Bitplane,101.864,1024
227.192,3145728,3,12703809576107580757,arx_block,3.57035,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,6.74615,cellular_automata,candidates,checkerboard_swaps,2.88472,1,candidates__noise_1024x1024__rep1,Checkerboard-CA-ARX,13.2047,1024
44.8865,3145728,3,6769910357436157580,prefix_tree_reverse,17.28,1024,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,6.55551,cellular_automata,candidates,affine_bitplane,42.9957,1,candidates__noise_1024x1024__rep1,Affine-CA-PrefixTree,66.8352,1024
